,city,cloudiness,country,date,humidity,lat,lng,max_temp,wind speed
0,Punta Arenas,0,CL,1547326800,53,-53.16,-70.91,10,12.9
1,Ushuaia,75,AR,1547326800,81,-54.81,-68.31,6,17.5
2,Toora-Khem,48,RU,1547329104,69,52.47,96.11,-22.34,1.45
3,Tasiilaq,8,GL,1547326200,72,65.61,-37.64,-9,2.1
4,Butaritari,76,KI,1547329089,100,3.07,172.79,28.51,4.65
5,Saint-Joseph,0,FR,1547326800,80,43.56,6.97,7,2.1
6,Karaton,40,ID,1547326800,88,-6.34,106.1,25,1.5
7,Nome,1,US,1547327700,42,30.04,-94.42,22.2,7.7
8,Morro Bay,75,US,1547326560,62,35.37,-120.85,16.7,2.1
9,Lebu,0,ET,1547326800,29,8.96,38.73,11,1.0
10,Ahome,5,MX,1547325660,34,25.92,-109.18,26,1.5
11,Virginia,90,US,1547327700,92,47.52,-92.54,-3.1,1.5
12,Nacala,68,MZ,1547329139,96,-14.56,40.69,27.39,6.35
13,Port Alfred,0,ZA,1547329145,90,-33.59,26.89,20.21,1.45
14,Cape Town,40,ZA,1547326800,68,-33.93,18.42,19,4.6
15,Ixtapa,20,MX,1547326080,78,20.71,-105.21,27,6.2
16,Nikolskoye,40,RU,1547326800,92,59.7,30.79,-7,5.0
17,Am Timan,0,TD,1547329158,26,11.04,20.28,21.71,2.85
18,Kayerkan,48,RU,1547329162,73,69.35,87.76,-38.37,6.25
19,San Cristobal,75,EC,1547326800,56,-0.39,-78.55,20,8.2
20,Sitka,68,US,1547329168,89,37.17,-99.65,2.31,7.4
21,Mataram,36,ID,1547329171,96,-5.32,105.06,22.46,0.95
22,Rikitea,76,PF,1547328981,100,-23.12,-134.97,26.09,6.25
23,Vila Velha,0,BR,1547326800,74,-3.71,-38.6,28,2.6
24,Arraial do Cabo,20,BR,1547323200,69,-22.97,-42.02,30,7.2
25,Qaanaaq,0,GL,1547329184,100,77.48,-69.36,-30.82,3.85
26,Albany,20,US,1547327820,34,42.65,-73.75,-4.4,5.1
27,Houma,0,CN,1547329191,75,35.63,111.36,-13.19,0.5
28,Georgetown,75,GY,1547326800,69,6.8,-58.16,28,6.2
29,Yellowknife,90,CA,1547326800,76,62.45,-114.38,-20,5.1
30,Gat,92,SN,1547326800,36,14.69,-16.54,25,1.85
31,Trairi,80,BR,1547329204,100,-3.28,-39.27,27.89,2.65
32,Fairbanks,36,US,1547326680,68,64.84,-147.72,-35.6,1.95
33,Portobelo,20,PA,1547326800,48,9.55,-79.65,31,7.2
34,Katsuura,20,JP,1547326800,86,33.93,134.5,3,2.6
35,Hermanus,0,ZA,1547328987,65,-34.42,19.24,15.56,4.2
36,Busselton,0,AU,1547329220,100,-33.64,115.35,17.46,8.4
37,Victoria,75,BN,1547326800,88,5.28,115.24,27,1.5
38,New Norfolk,20,AU,1547326800,58,-42.78,147.06,14,2.6
39,Nyuksenitsa,88,RU,1547329231,89,60.41,44.24,-9.44,6.45
40,Anna,90,US,1547328540,65,33.35,-96.55,8.9,7.2
41,Great Yarmouth,75,GB,1547328000,93,52.61,1.73,9,5.7
42,Preobrazheniye,0,RU,1547329240,54,42.9,133.91,-20.82,1.05
43,Vaini,0,IN,1547329244,86,15.34,74.49,15.26,1.35
44,Tura,0,IN,1547329247,78,25.52,90.21,10.06,1.75
45,Severo-Kurilsk,88,RU,1547329084,100,50.68,156.12,0.09,6.95
46,Tungor,0,RU,1547329253,81,53.39,142.95,-15.49,5.9
47,Faanui,88,PF,1547329013,100,-16.48,-151.75,27.56,10.1
48,Buluang,40,PH,1547326800,88,10.47,123.98,25,2.1
49,Ahipara,8,NZ,1547329263,70,-35.17,173.16,22.16,2.25
50,Lorengau,76,PG,1547329264,99,-2.02,147.27,28.56,7.0
51,Mar del Plata,12,AR,1547329269,29,-46.43,-67.52,21.06,6.25
52,Milkovo,12,BG,1547326800,58,41.53,24.68,-1,7.7
53,Kapaa,90,US,1547326560,73,22.08,-159.32,26.1,4.1
